                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2777,                 3.3087,                 1.1478,                0.36441,                0.63176,                0.31033,                0.12245,                 2.2001,                 3.4882,                 1.1475,             0.00065753,             0.00065753,             0.00065753
                      2,                 2.0175,                 1.5751,                 1.0497,                0.04005,                0.57068,                0.03019,                0.01258,                 2.1254,                    inf,                 1.1377,              0.0013176,              0.0013176,              0.0013176
                      3,                 2.0019,                 1.5259,                 1.0489,                0.00023,                0.01571,                0.00012,                  5e-05,                 4.7951,                    inf,                 5.9707,              0.0019712,              0.0019712,              0.0019712
                      4,                 1.9341,                  1.431,                 1.0431,                 0.7143,                0.60733,                0.68126,                0.29819,                 2.0652,                 1.6672,                 1.1322,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.9363,                 1.4293,                 1.0368,                0.68576,                0.61431,                0.65211,                 0.2965,                 2.0306,                 1.7717,                 1.0715,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.9001,                 1.3291,                 1.0257,                0.69053,                0.63085,                0.68682,                0.32036,                 1.9876,                 1.7048,                 1.0892,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.8791,                 1.3282,                 1.0234,                0.65567,                0.67016,                0.67582,                0.31225,                 1.9476,                 1.6117,                 1.0406,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.8753,                 1.3327,                 1.0257,                0.65119,                0.61905,                0.66359,                0.27274,                 2.0693,                 1.5331,                 1.1058,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.8593,                 1.3336,                 1.0189,                0.76387,                0.70855,                 0.7834,                0.38146,                 2.0439,                  1.284,                 1.1243,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.8235,                 1.2275,                0.99653,                0.74855,                 0.6911,                0.76209,                0.35814,                 1.9096,                 1.3668,                  1.042,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.8002,                 1.2253,                0.99803,                0.72078,                  0.637,                0.70624,                 0.3303,                 1.9562,                 1.3845,                  1.051,              0.0019109,              0.0019109,              0.0019109
